Date,Product Category,Predicted_Sales
2024-01-01,Beauty,210.20746
2024-01-02,Beauty,208.48898
2024-01-03,Beauty,210.45036
2024-01-04,Beauty,215.32286
2024-01-05,Beauty,215.60362
2024-01-06,Beauty,238.08144
2024-01-07,Beauty,264.1006
2024-01-08,Beauty,202.31407
2024-01-09,Beauty,188.28145
2024-01-10,Beauty,198.74358
2024-01-11,Beauty,189.77191
2024-01-12,Beauty,198.09291
2024-01-13,Beauty,241.96431
2024-01-14,Beauty,227.81502
2024-01-15,Beauty,192.24174
2024-01-16,Beauty,199.07333
2024-01-17,Beauty,215.36702
2024-01-18,Beauty,194.28072
2024-01-19,Beauty,200.57712
2024-01-20,Beauty,232.34557
2024-01-21,Beauty,232.47198
2024-01-22,Beauty,191.40953
2024-01-23,Beauty,197.87439
2024-01-24,Beauty,195.69844
2024-01-25,Beauty,200.18814
2024-01-26,Beauty,200.20915
2024-01-27,Beauty,242.14742
2024-01-28,Beauty,226.3146
2024-01-29,Beauty,190.69765
2024-01-30,Beauty,199.37358
2024-01-01,Clothing,414.2598
2024-01-02,Clothing,405.79294
2024-01-03,Clothing,401.82144
2024-01-04,Clothing,404.96774
2024-01-05,Clothing,406.02896
2024-01-06,Clothing,453.74164
2024-01-07,Clothing,457.5751
2024-01-08,Clothing,405.25827
2024-01-09,Clothing,388.70908
2024-01-10,Clothing,388.63403
2024-01-11,Clothing,393.6019
2024-01-12,Clothing,393.60278
2024-01-13,Clothing,472.86414
2024-01-14,Clothing,462.62097
2024-01-15,Clothing,397.5105
2024-01-16,Clothing,392.77594
2024-01-17,Clothing,395.43655
2024-01-18,Clothing,404.37363
2024-01-19,Clothing,406.12607
2024-01-20,Clothing,483.2509
2024-01-21,Clothing,478.7028
2024-01-22,Clothing,403.4526
2024-01-23,Clothing,403.61682
2024-01-24,Clothing,395.8531
2024-01-25,Clothing,400.98953
2024-01-26,Clothing,403.25082
2024-01-27,Clothing,483.95978
2024-01-28,Clothing,483.16632
2024-01-29,Clothing,403.47388
2024-01-30,Clothing,403.91028
2024-01-01,Electronics,695.03436
2024-01-02,Electronics,632.8658
2024-01-03,Electronics,633.9277
2024-01-04,Electronics,629.2278
2024-01-05,Electronics,633.2443
2024-01-06,Electronics,711.93646
2024-01-07,Electronics,708.0038
2024-01-08,Electronics,635.7508
2024-01-09,Electronics,610.4053
2024-01-10,Electronics,606.5568
2024-01-11,Electronics,606.27765
2024-01-12,Electronics,605.6886
2024-01-13,Electronics,710.8662
2024-01-14,Electronics,721.89404
2024-01-15,Electronics,602.398
2024-01-16,Electronics,595.2564
2024-01-17,Electronics,597.2713
2024-01-18,Electronics,596.53955
2024-01-19,Electronics,590.7997
2024-01-20,Electronics,711.78076
2024-01-21,Electronics,721.0105
2024-01-22,Electronics,591.98694
2024-01-23,Electronics,581.59735
2024-01-24,Electronics,593.16345
2024-01-25,Electronics,583.2671
2024-01-26,Electronics,588.6681
2024-01-27,Electronics,710.64386
2024-01-28,Electronics,728.81445
2024-01-29,Electronics,594.2477
2024-01-30,Electronics,579.88696
