Date,Product Category,Predicted_Sales
2024-01-01,Beauty,210.20746
2024-01-02,Beauty,208.48898
2024-01-03,Beauty,210.45036
2024-01-04,Beauty,215.32286
2024-01-05,Beauty,215.60362
2024-01-06,Beauty,238.08144
2024-01-07,Beauty,264.1006
2024-01-08,Beauty,202.31407
2024-01-09,Beauty,188.28145
2024-01-10,Beauty,198.74358
2024-01-11,Beauty,189.77191
2024-01-12,Beauty,198.09291
2024-01-13,Beauty,241.96431
2024-01-14,Beauty,227.81502
2024-01-15,Beauty,192.24174
2024-01-16,Beauty,199.07333
2024-01-17,Beauty,215.36702
2024-01-18,Beauty,194.28072
2024-01-19,Beauty,200.57712
2024-01-20,Beauty,232.34557
2024-01-21,Beauty,232.47198
2024-01-22,Beauty,191.40953
2024-01-23,Beauty,197.87439
2024-01-24,Beauty,195.69844
2024-01-25,Beauty,200.18814
2024-01-26,Beauty,200.20915
2024-01-27,Beauty,242.14742
2024-01-28,Beauty,226.3146
2024-01-29,Beauty,190.69765
2024-01-30,Beauty,199.37358
