Date,Product Category,Predicted_Sales
2024-01-01,Electronics,695.03436
2024-01-02,Electronics,632.8658
2024-01-03,Electronics,633.9277
2024-01-04,Electronics,629.2278
2024-01-05,Electronics,633.2443
2024-01-06,Electronics,711.93646
2024-01-07,Electronics,708.0038
2024-01-08,Electronics,635.7508
2024-01-09,Electronics,610.4053
2024-01-10,Electronics,606.5568
2024-01-11,Electronics,606.27765
2024-01-12,Electronics,605.6886
2024-01-13,Electronics,710.8662
2024-01-14,Electronics,721.89404
2024-01-15,Electronics,602.398
2024-01-16,Electronics,595.2564
2024-01-17,Electronics,597.2713
2024-01-18,Electronics,596.53955
2024-01-19,Electronics,590.7997
2024-01-20,Electronics,711.78076
2024-01-21,Electronics,721.0105
2024-01-22,Electronics,591.98694
2024-01-23,Electronics,581.59735
2024-01-24,Electronics,593.16345
2024-01-25,Electronics,583.2671
2024-01-26,Electronics,588.6681
2024-01-27,Electronics,710.64386
2024-01-28,Electronics,728.81445
2024-01-29,Electronics,594.2477
2024-01-30,Electronics,579.88696
